,COMPETITION,SEASON,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
92,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,10,Eduardo Camavinga,Real Madrid,0.03,,Blocked,25,Left Foot,,,,,
93,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,11,Antonio Rüdiger,Real Madrid,0.06,,Blocked,14,Right Foot,,Toni Kroos,Pass (Live),Eduardo Camavinga,Shot
94,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,13,Umar Sadiq,Almería,0.02,,Off Target,29,Right Foot,,,,,
95,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,16,Federico Valverde,Real Madrid,0.05,0.05,Saved,22,Right Foot,,,,,
96,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,20,Karim Benzema,Real Madrid,0.07,,Blocked,14,Right Foot,Volley,Ferland Mendy,Pass (Live),Nacho,Pass (Live)
97,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,21,Vinicius Júnior,Real Madrid,0.03,,Blocked,22,Right Foot,,Ferland Mendy,Pass (Live),Eduardo Camavinga,Pass (Live)
98,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,27,Vinicius Júnior,Real Madrid,0.08,,Blocked,18,Right Foot,,Federico Valverde,Pass (Live),Eduardo Camavinga,Pass (Live)
99,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,28,Karim Benzema,Real Madrid,0.18,0.08,Saved,7,Head,,Toni Kroos,Pass (Live),Federico Valverde,Pass (Live)
100,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,34,Karim Benzema,Real Madrid,0.03,0.07,Saved,11,Left Foot,Volley,Antonio Rüdiger,Pass (Live),Toni Kroos,Pass (Live)
101,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,37,Vinicius Júnior,Real Madrid,0.1,0.03,Saved,11,Right Foot,,Federico Valverde,Pass (Live),Nacho,Pass (Live)
